,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
355,Pailin,12.849,102.6093,90.3,54,75,6.53,KH,1685082737
356,São Gabriel da Cachoeira,-0.1303,-67.0892,72.9,99,100,1.63,BR,1685082738
357,Mount Isa,-20.7333,139.5,74.97,23,0,16.11,AU,1685082740
358,West Bay,19.3667,-81.4167,82.99,78,1,5.01,KY,1685082741
359,Vine Grove,37.8101,-85.9814,58.14,55,0,8.05,US,1685082742
360,Ruska Poliana,49.417,31.9201,68.79,66,91,8.25,UA,1685082744
361,Tumbes,-3.5667,-80.4414,77.32,85,74,6.62,PE,1685082525
362,Bakanas,44.8081,76.2772,79.16,18,95,1.83,KZ,1685082746
363,Cabedelo,-6.9811,-34.8339,79.47,76,34,13.15,BR,1685082747
364,Eenhana,-17.4667,16.3333,66.83,30,0,3.69,NA,1685082748
365,Hilo,19.7297,-155.09,73.27,90,100,3.44,US,1685082684
366,Plastun,44.7561,136.2939,61.16,64,100,11.01,RU,1685082751
367,Tambo Grande,-4.9269,-80.3447,75.45,72,82,7.81,PE,1685082752
368,El Burgo de Osma,41.5862,-3.0652,51.89,83,89,18.34,ES,1685082753
369,Thinadhoo,0.5333,72.9333,80.35,75,100,10.33,MV,1685082754
370,Selfoss,63.9331,-20.9971,42.04,94,100,11.41,IS,1685082755
371,Nadym,65.5333,72.5167,69.1,41,81,19.8,RU,1685082756
372,Lae,-6.7221,146.9847,84.87,79,13,6.64,PG,1685082758
373,Alofi,-19.0595,-169.9187,64.29,100,100,4.61,NU,1685082193
374,Smiltene,57.4244,25.9016,53.55,32,1,5.55,LV,1685082760
375,Balsas,-7.5325,-46.0356,71.89,70,20,3.22,BR,1685082761
376,Kurchatov,51.6601,35.6521,68.41,66,100,5.44,RU,1685082762
377,Vuktyl,63.8567,57.3094,79.95,35,13,16.49,RU,1685082764
378,Cidreira,-30.1811,-50.2056,66.27,81,0,10.67,BR,1685082765
379,Dolinsk,47.35,142.8,64.2,36,97,14.16,RU,1685082766
380,Aur,8.1499,171.1687,82.6,79,100,17.29,MH,1685082767
381,Praia da Vitória,38.7333,-27.0667,62.85,88,75,12.66,PT,1685082768
382,Lüderitz,-26.6481,15.1594,52.95,64,4,8.86,NA,1685082769
383,Saint-Joseph,-21.3667,55.6167,75.58,76,99,12.84,RE,1685082771
384,Lincheng,19.9078,109.6858,90.99,61,83,7.34,CN,1685082772
385,Puerto Carreño,6.189,-67.4859,75.04,93,100,1.14,CO,1685082773
386,Aqadyr,48.2553,72.8483,66.25,39,100,11.83,KZ,1685082774
387,Jiangyou,31.7667,104.7167,76.32,54,92,2.95,CN,1685082775
388,Engel's,51.5,46.1167,67.8,57,100,7.49,RU,1685082776
389,Fort McMurray,56.7268,-111.381,51.31,76,20,8.05,CA,1685082778
390,Tiszaújváros,47.9333,21.0833,66.69,73,6,10.85,HU,1685082779
391,I-n-Salah,27.1935,2.4607,81.73,18,100,16.46,DZ,1685082780
392,Yamba,-5.9,22.3,82.76,54,97,3.67,CD,1685082781
393,Usinsk,65.9939,57.5281,76.06,46,9,26.57,RU,1685082782
394,Slave Lake,55.2834,-114.769,53.58,76,100,4.61,CA,1685082784
395,Semnan,35.5729,53.3971,86.31,19,100,8.48,IR,1685082785
396,Sanibel,26.449,-82.0223,73.99,87,3,8.01,US,1685082783
397,Terra Nova,-12.3667,-40.6667,66.56,88,98,4.05,BR,1685082787
398,Aïn Sefra,32.75,-0.5833,67.06,38,2,5.06,DZ,1685082789
399,Paracuru,-3.41,-39.0306,77.11,89,41,10.09,BR,1685082790
400,Rongelap,11.1635,166.8941,82.49,78,100,18.43,MH,1685082791
401,Vilcún,-38.65,-72.2333,45.34,95,98,4.23,CL,1685082792
402,Jerez de García Salinas,22.65,-103.0,68.16,28,85,1.48,MX,1685082793
403,Nishinoomote,30.7333,131.0,75.76,78,75,10.36,JP,1685082795
404,Dar Chioukh,34.8964,3.4854,59.36,64,0,5.84,DZ,1685082796
405,Arraial do Cabo,-22.9661,-42.0278,71.91,87,0,14.07,BR,1685082797
406,Karlovasi,37.7903,26.7044,69.91,63,0,6.06,GR,1685082798
407,Revda,56.801,59.9303,79.75,29,88,3.38,RU,1685082799
408,Monroeville,40.4212,-79.7881,52.05,68,0,4.61,US,1685082780
409,Nova Viçosa,-17.8919,-39.3719,73.42,84,16,11.21,BR,1685082803
410,Vila Velha,-20.3297,-40.2925,69.94,98,75,4.61,BR,1685082804
411,Amga,60.8953,131.9608,59.0,30,98,7.05,RU,1685082806
412,Prado,-17.3411,-39.2208,72.18,89,29,9.55,BR,1685082807
413,Portland,45.5234,-122.6762,70.38,60,0,9.22,US,1685082808
414,Sultandağı,38.5311,31.2281,63.79,57,41,2.8,TR,1685082809
415,Khandyga,62.6667,135.6,50.4,63,99,5.59,RU,1685082810
416,Hinche,19.15,-72.0167,73.67,86,0,2.39,HT,1685082811
417,Touros,-5.1989,-35.4608,77.67,84,57,13.4,BR,1685082604
418,Shingū,33.7333,135.9833,69.08,67,97,4.03,JP,1685082814
419,Luang Namtha,20.9497,101.4011,89.62,66,75,11.5,LA,1685082815
420,Lázaro Cárdenas,17.9583,-102.2,81.68,74,100,1.21,MX,1685082756
421,Songea,-10.6833,35.65,65.55,77,20,0.0,TZ,1685082818
422,Lionel Town,17.8101,-77.2406,82.29,90,17,3.27,JM,1685082819
423,Chernushka,56.5072,56.0766,78.82,41,8,8.28,RU,1685082820
424,Eastham,41.8301,-69.9739,53.62,83,0,3.44,US,1685082821
425,Kavieng,-2.5744,150.7967,82.87,77,36,7.34,PG,1685082823
426,Manta,-0.95,-80.7333,75.52,87,66,4.74,EC,1685082743
427,Sarmiento,-45.5882,-69.07,39.25,50,51,25.39,AR,1685082825
428,San José del Cabo,23.0589,-109.6977,78.6,40,100,5.14,MX,1685082826
429,Champerico,14.3,-91.9167,79.59,85,100,13.53,GT,1685082827
430,Xinyuan,37.3,99.0,44.55,68,100,6.11,CN,1685082829
431,Khovd,48.0056,91.6419,55.26,49,96,6.11,MN,1685082830
432,Gizo Government Station,-8.103,156.8419,80.98,79,100,8.34,SB,1685082831
433,Port Shepstone,-30.7414,30.455,68.22,44,0,26.62,ZA,1685082832
434,Miyako,39.6367,141.9525,64.87,72,100,10.6,JP,1685082833
435,Betioky,-23.7167,44.3833,74.95,48,0,10.2,MG,1685082834
436,Dhangadhi,28.7079,80.5961,78.58,65,100,4.47,NP,1685082836
437,Howard Springs,-12.497,131.047,85.91,38,39,1.39,AU,1685082837
438,Harper,4.375,-7.7169,77.5,89,100,3.27,LR,1685082838
439,Alice Springs,-23.7,133.8833,60.35,27,0,12.66,AU,1685082839
440,Owando,-0.4819,15.8999,79.05,77,96,2.46,CG,1685082840
441,Dunedin,-45.8742,170.5036,55.94,71,60,7.76,NZ,1685082605
442,Khanty-Mansiysk,61.0042,69.0019,68.11,42,0,2.24,RU,1685082843
443,Liwale,-9.7667,37.9333,76.15,61,0,4.29,TZ,1685082844
444,Puerto Rico,-26.796,-55.024,72.77,94,16,3.49,AR,1685082846
445,Iquique,-20.2208,-70.1431,66.24,75,98,6.76,CL,1685082848
446,Sandnessjøen,66.0217,12.6316,42.91,79,40,10.0,NO,1685082849
447,Villa Gesell,-37.2639,-56.973,64.06,97,100,13.73,AR,1685082851
448,Pitimbu,-7.4706,-34.8086,79.39,76,49,11.05,BR,1685082853
449,Correntina,-13.3433,-44.6367,66.16,84,0,5.64,BR,1685082854
450,Philadelphia,39.9523,-75.1638,54.16,84,0,4.61,US,1685082855
451,Susanville,40.4163,-120.653,55.24,69,75,11.5,US,1685082856
452,Hojāi,26.0,92.8667,91.0,51,23,8.08,IN,1685082857
453,Tralee,52.2704,-9.7026,54.63,87,42,4.54,IE,1685082858
454,Am Timan,11.0297,20.2827,94.53,32,48,7.78,TD,1685082860
455,Lanzhou,36.0564,103.7922,70.92,38,100,3.76,CN,1685082861
456,Greenville,35.6127,-77.3663,59.16,75,40,5.75,US,1685082787
457,Xilin Hot,43.9667,116.0333,65.84,29,28,7.65,CN,1685082863
458,Stephenville,32.2207,-98.2023,68.13,83,0,3.44,US,1685082864
459,Hermanus,-34.4187,19.2345,49.8,70,72,9.17,ZA,1685082866
460,Puerto Aisén,-45.4,-72.7,37.06,99,100,3.65,CL,1685082729
461,Conde,-7.2597,-34.9075,78.26,83,40,6.91,BR,1685082868
462,Krasnyy Yar,46.5331,48.3456,76.96,34,99,14.65,RU,1685082869
463,Santa Ana,33.7456,-117.8678,62.85,79,100,1.01,US,1685082747
464,Concepción,-36.827,-73.0498,55.2,88,75,11.5,CL,1685082735
465,Tamanghasset,22.785,5.5228,62.51,27,0,4.61,DZ,1685082873
466,Megion,61.0296,76.1136,62.62,28,95,4.61,RU,1685082739
467,Barra de Santo Antônio,-9.4047,-35.5072,74.48,86,14,7.34,BR,1685082876
468,Greymouth,-42.4667,171.2,57.58,86,87,20.45,NZ,1685082877
469,Ola,59.5833,151.2833,48.15,92,100,8.59,RU,1685082878
470,Birobidzhan,48.8,132.95,57.51,86,100,8.97,RU,1685082880
471,Chernomorskoye,45.5039,32.6997,64.83,79,73,2.44,UA,1685082881
472,Dhidhdhoo,6.8833,73.1,84.9,71,20,8.88,MV,1685082882
473,Laayoune,27.1622,-13.2032,62.94,100,9,2.3,EH,1685082883
474,Yallahs,17.8748,-76.5624,82.13,83,3,0.04,JM,1685082884
475,Oumache,34.6929,5.6809,73.87,43,22,3.85,DZ,1685082886
476,Sumbe,-11.2061,13.8437,75.85,80,65,2.15,AO,1685082887
477,Shiraz,29.6036,52.5388,83.64,23,4,6.91,IR,1685082888
478,Ta`ū,-14.2336,-169.5144,81.43,79,95,15.21,AS,1685082889
479,Bolobo,-2.1667,16.2333,76.17,86,100,0.69,CD,1685082890
480,Natchez,31.5604,-91.4032,70.02,73,0,8.05,US,1685082891
481,West Freehold,40.2421,-74.3013,56.46,79,40,5.75,US,1685082893
482,Dāmghān,36.1683,54.348,83.71,17,100,4.54,IR,1685082894
483,Shagonar,51.5333,92.8,53.1,46,28,9.4,RU,1685082895
484,Ciudad Bolivar,8.1222,-63.5497,79.18,81,100,6.42,VE,1685082896
485,Laojunmiao,39.8333,97.7333,63.59,15,100,7.36,CN,1685082897
486,Zvëzdnyy,57.7325,56.3147,75.79,27,6,8.59,RU,1685082898
487,Brookings,44.3114,-96.7984,66.2,59,0,13.8,US,1685082689
488,Santa Cruz de la Sierra,-17.8,-63.1667,74.66,94,75,13.8,BO,1685082800
489,Conduaga,8.862,117.4893,86.59,65,100,7.92,PH,1685082901
490,Auki,-8.7676,160.7034,75.45,91,100,3.8,SB,1685082904
491,Nouadhibou,20.931,-17.0347,66.18,94,100,18.41,MR,1685082905
492,Hammerfest,70.6634,23.6821,41.45,70,75,11.5,NO,1685082907
493,Port Hedland,-20.3167,118.5667,84.25,17,5,18.41,AU,1685082911
494,Baissa,7.2333,10.6333,77.47,88,24,2.15,NG,1685082913
495,Ketchikan,55.3422,-131.6461,55.87,94,100,3.44,US,1685082914
496,Ljusdal,61.8288,16.0913,48.65,41,5,13.76,SE,1685082785
497,Esim,4.8699,-2.2405,80.35,83,44,2.24,GH,1685082916
498,Narvik,68.4384,17.4272,38.61,94,100,10.51,NO,1685082917
499,Rémire-Montjoly,4.9167,-52.2667,75.24,94,20,0.0,GF,1685082919
500,Canutama,-6.5339,-64.3831,73.62,99,65,0.2,BR,1685082920
501,Carboneras,37.0015,-1.9213,66.31,81,11,11.14,ES,1685082921
502,Tura,25.5198,90.2201,87.12,53,27,4.38,IN,1685082922
503,Prince George,53.9166,-122.753,53.26,78,0,0.0,CA,1685082923
504,Dondo,-19.6094,34.7431,71.11,63,1,5.75,MZ,1685082925
505,Zuni Pueblo,35.0725,-108.8506,52.43,21,14,5.46,US,1685082926
506,Saint-François,46.4154,3.9054,58.68,94,0,0.0,FR,1685082927
507,Pointe Michel,15.25,-61.3833,79.9,83,20,11.95,DM,1685082928
508,Ratnagiri,16.9833,73.3,88.36,63,11,10.83,IN,1685082930
509,Minot,48.2325,-101.2963,71.82,53,20,13.8,US,1685082799
510,Urengoy,65.9667,78.3667,52.84,65,100,13.29,RU,1685082691
511,Apahida,46.8167,23.75,66.15,73,0,1.99,RO,1685082933
512,Ribeirão Branco,-24.2208,-48.7656,55.85,98,0,1.59,BR,1685082935
513,Crane,31.3974,-102.3501,72.09,73,96,17.13,US,1685082936
514,Palu,-0.8917,119.8707,80.78,92,100,2.75,ID,1685082937
515,El Granada,37.5027,-122.4694,57.61,87,100,9.22,US,1685082938
516,Gobabis,-22.45,18.9667,51.21,63,0,11.48,NA,1685082939
517,Kiruna,67.8557,20.2251,38.32,52,40,17.27,SE,1685082941
518,Libreville,0.3925,9.4537,78.82,94,75,8.05,GA,1685082942
519,Chipinge,-20.1883,32.6236,71.87,44,61,2.68,ZW,1685082943
520,Kindu,-2.95,25.95,77.63,80,98,0.76,CD,1685082944
521,Hsinchu,24.8036,120.9686,85.98,74,73,3.0,TW,1685082894
522,Kölleda,51.1833,11.2333,58.28,70,0,5.95,DE,1685082947
523,Killarney,52.05,-9.5167,56.01,87,68,3.91,IE,1685082948
524,Isangel,-19.55,169.2667,77.11,65,20,4.61,VU,1685082949
525,Aras-asan,8.8908,126.3033,85.03,75,100,6.44,PH,1685082950
526,Port Saint John's,-31.6229,29.5448,65.8,41,0,23.02,ZA,1685082952
527,Singkil,-7.9855,111.4161,86.81,56,38,5.59,ID,1685082953
528,Puerto Armuelles,8.2833,-82.8667,82.17,89,100,1.79,PA,1685082954
529,Labytnangi,66.6572,66.4183,72.59,47,33,17.16,RU,1685082955
530,Maputo,-25.9653,32.5892,70.23,86,75,14.97,MZ,1685082956
531,Igarka,67.4667,86.5833,41.49,87,70,5.68,RU,1685082957
532,Shenkursk,62.1091,42.896,69.21,47,5,9.17,RU,1685082958
533,Horta,38.5333,-28.6333,62.02,81,40,11.01,PT,1685082960
534,Ortona,42.3496,14.4039,72.16,65,13,9.15,IT,1685082961
535,Guibéroua,6.2392,-6.1727,73.38,98,100,1.52,CI,1685082962
536,Brisas de Zicatela,15.8369,-97.0419,82.38,82,41,6.89,MX,1685082963
537,Bo`ka,40.8108,69.1986,83.19,18,0,7.67,UZ,1685082965
538,Ndjolé,-0.1783,10.7649,78.44,93,100,1.83,GA,1685082966
539,Atemajac de Brizuela,20.1833,-103.7,58.03,46,43,1.88,MX,1685082967
540,Nueva Gerona,21.8833,-82.8,78.66,70,0,3.62,CU,1685082968
541,Kasane,-17.8167,25.15,64.49,59,0,2.3,BW,1685082970
542,Kapaa,22.0752,-159.319,73.72,89,100,12.66,US,1685082971
543,Senigallia,43.7093,13.2167,70.95,75,51,9.22,IT,1685082972
544,Abong Mbang,3.9833,13.1833,71.2,97,100,2.01,CM,1685082974
545,Rabak,13.1809,32.74,99.14,28,7,13.49,SD,1685082975
546,Naryan-Mar,67.6713,53.087,60.26,89,100,15.21,RU,1685082799
547,Holualoa,19.6228,-155.9522,71.44,92,40,14.97,US,1685082977
548,Camocim,-2.9022,-40.8411,76.26,89,43,9.82,BR,1685082978
549,Tindouf,27.6711,-8.1474,65.37,51,100,17.96,DZ,1685082981
550,Alaghsas,17.0187,8.0168,91.29,25,3,5.75,NE,1685082982
551,Yarkovo,57.4028,67.0786,71.29,31,4,4.43,RU,1685082983
552,Kokopo,-4.352,152.2633,81.48,78,100,9.66,PG,1685082985
553,Dali,25.7,100.1833,77.25,41,35,8.57,CN,1685082986
554,Mlimba,-8.8,35.8167,76.75,68,19,2.48,TZ,1685082987
555,Tilaran,10.4703,-84.9671,74.07,98,99,1.34,CR,1685082988
556,Benguela,-12.5763,13.4055,75.45,79,0,2.08,AO,1685082989
557,Timimoun,29.2639,0.231,80.55,20,0,17.85,DZ,1685082991
558,Tangalle,6.024,80.7911,93.36,60,100,16.15,LK,1685082993
559,Bengkulu,-3.8004,102.2655,85.95,68,100,7.99,ID,1685082994
560,Muynak,43.7683,59.0214,84.61,19,0,11.59,UZ,1685082995
561,Sambava,-14.2667,50.1667,77.41,73,97,8.52,MG,1685082996
562,Mount Gambier,-37.8333,140.7667,53.17,74,100,9.17,AU,1685082997
563,Harrisburg,40.2737,-76.8844,54.12,77,0,3.85,US,1685083000
564,Bartlett,35.2045,-89.874,71.71,79,0,6.91,US,1685082862
565,Aylesbury,51.8167,-0.8146,51.85,88,8,10.36,GB,1685082901
566,Ulladulla,-35.35,150.4667,54.9,48,9,8.28,AU,1685083003
567,Sinop Province,41.7711,34.8709,55.83,74,100,1.79,TR,1685083005
568,Tromsø,69.6496,18.957,39.22,81,100,21.85,NO,1685083006
569,Miandrivazo,-19.5167,45.4667,81.28,41,0,6.35,MG,1685083007
570,El Porvenir,13.7617,-87.3458,78.13,91,100,2.1,HN,1685083008
571,Kashgar,39.4547,75.9797,72.61,26,20,6.71,CN,1685083010
572,Güneysu,40.9776,40.6136,67.5,81,82,5.19,TR,1685083011
573,Yuto,-23.6434,-64.4719,68.45,97,39,3.24,AR,1685083013
574,Mejit,10.2753,170.8646,81.84,80,100,15.05,MH,1685083014
575,Puerto Santa,-8.9906,-78.6456,70.99,86,100,11.7,PE,1685083015
576,Fortaleza,-3.7227,-38.5247,78.93,89,75,4.61,BR,1685082827
577,Xigazê,29.25,88.8833,67.91,13,100,18.34,CN,1685083017
578,Wad Medani,14.4012,33.5199,101.16,15,6,6.93,SD,1685083019
